RT,SERIALNO,PUMA,HHL,HHT
H,297176,600,1.0,6.0
H,297179,4501,,
H,297180,3700,,
H,297191,6400,2.0,6.0
H,297192,1905,,
H,297196,6100,,
H,297214,2513,1.0,1.0
H,297234,4609,3.0,1.0
H,297239,5915,1.0,1.0
H,297247,600,,
H,297249,2303,1.0,1.0
H,297260,3200,2.0,1.0
H,297270,4100,1.0,7.0
H,297277,4629,,
H,297291,4302,,
H,297297,1600,,
H,297298,5911,2.0,6.0
H,297325,5902,2.0,1.0
H,297329,2200,,
H,297335,4612,1.0,1.0
H,297352,2600,,
H,297371,1700,,
H,297380,6400,2.0,3.0
H,297396,3301,,
H,297408,2102,1.0,3.0
H,297420,3700,,
H,297434,4637,1.0,4.0
H,297447,2005,,
H,297453,2002,1.0,6.0
H,297455,2305,2.0,1.0
H,297457,3700,,
H,297461,5906,2.0,1.0
H,297477,5500,1.0,4.0
H,297490,700,1.0,1.0
H,297508,2310,1.0,6.0
H,297535,6500,,
H,297585,2322,3.0,1.0
H,297587,2501,1.0,1.0
H,297642,4902,1.0,1.0
H,297647,4628,1.0,1.0
H,297651,2200,1.0,7.0
H,297665,3301,,
H,297680,3700,1.0,1.0
H,297695,3301,2.0,3.0
H,297696,1100,1.0,5.0
H,297698,5911,2.0,1.0
H,297701,3602,1.0,2.0
H,297740,3400,1.0,6.0
H,297778,6702,2.0,1.0
H,297787,4501,1.0,1.0
H,297819,3305,,
H,297822,4701,,
H,297823,1800,1.0,1.0
H,297836,5914,2.0,1.0
H,297842,2200,1.0,1.0
H,297883,4301,1.0,1.0
H,297891,2512,1.0,1.0
H,297892,5904,2.0,1.0
H,297900,6805,2.0,3.0
H,297922,3700,,
H,297930,5914,1.0,6.0
H,297939,2301,1.0,6.0
H,297942,2004,3.0,1.0
H,297957,2509,1.0,1.0
H,297979,2322,1.0,4.0
H,298066,4628,1.0,1.0
H,298136,5911,1.0,1.0
H,298143,4803,1.0,3.0
H,298165,400,2.0,2.0
H,298172,3501,1.0,5.0
H,298175,2304,1.0,6.0
H,298181,5100,2.0,3.0
H,298182,4617,1.0,6.0
H,298183,2514,1.0,3.0
H,298207,4614,2.0,6.0
H,298209,6804,2.0,1.0
H,298226,4301,2.0,1.0
H,298245,4501,1.0,4.0
H,298292,6500,1.0,3.0
H,298301,4615,1.0,4.0
H,298304,5301,1.0,1.0
H,298317,1700,1.0,4.0
H,298318,4617,2.0,1.0
H,298324,1000,4.0,1.0
H,298350,4626,1.0,6.0
H,298377,5303,1.0,1.0
H,298378,6000,1.0,1.0
H,298381,5500,,
H,298390,4624,2.0,5.0
H,298424,5915,2.0,1.0
H,298435,2316,2.0,4.0
H,298439,5903,2.0,6.0
H,298469,400,,
H,298492,5903,2.0,6.0
H,298499,4623,,
H,298507,3302,2.0,6.0
H,298508,1502,1.0,1.0
H,298553,5907,1.0,6.0
H,298623,4000,2.0,6.0
H,298662,2004,2.0,1.0
H,298664,3304,2.0,6.0
H,298682,502,1.0,4.0
H,298687,2006,2.0,1.0
H,298689,1902,3.0,1.0
H,298719,2308,2.0,3.0
H,298738,5915,1.0,1.0
H,298740,4612,1.0,1.0
H,298759,5100,1.0,4.0
H,298762,6900,2.0,1.0
H,298783,1905,2.0,1.0
H,298814,2320,1.0,3.0
H,298816,1800,,
H,298817,4621,1.0,1.0
H,298830,5908,2.0,7.0
H,298831,4616,2.0,1.0
H,298839,5800,2.0,1.0
H,298842,3306,2.0,1.0
H,298850,2200,1.0,1.0
H,298875,3305,2.0,3.0
H,298903,502,1.0,1.0
H,298922,4702,1.0,4.0
H,298927,5906,2.0,1.0
H,298933,2322,2.0,1.0
H,298935,3306,1.0,3.0
H,298945,2600,1.0,4.0
H,298997,2316,2.0,1.0
H,298999,4638,2.0,3.0
H,299010,5302,1.0,7.0
H,299012,5500,1.0,6.0
H,299024,2506,,
H,299031,6200,2.0,6.0
H,299092,501,,
H,299096,5201,1.0,1.0
H,299098,4503,1.0,5.0
H,299104,1907,1.0,6.0
H,299117,1502,1.0,3.0
H,299119,5308,1.0,1.0
H,299171,3306,1.0,6.0
H,299200,1100,1.0,3.0
H,299204,6804,2.0,2.0
H,299214,4501,1.0,1.0
H,299226,2001,1.0,1.0
H,299231,2511,1.0,3.0
H,299237,5902,2.0,6.0
H,299269,2511,1.0,3.0
H,299278,2600,1.0,6.0
H,299282,200,,
H,299285,5306,1.0,6.0
H,299306,5400,2.0,3.0
H,299308,5700,1.0,1.0
H,299314,400,1.0,6.0
H,299325,5301,2.0,1.0
H,299328,5400,1.0,1.0
H,299352,2319,1.0,2.0
H,299372,4613,1.0,1.0
H,299388,3700,1.0,6.0
H,299394,3601,1.0,1.0
H,299405,2308,4.0,3.0
H,299407,1501,,
H,299412,2101,2.0,1.0
H,299426,5500,1.0,1.0
H,299430,6301,2.0,1.0
H,299513,600,1.0,1.0
H,299517,6500,,
H,299529,2509,1.0,4.0
H,299555,4902,1.0,6.0
H,299562,2509,1.0,6.0
H,299577,5901,2.0,1.0
H,299600,2301,1.0,4.0
H,299608,3502,1.0,1.0
H,299628,2321,5.0,3.0
H,299641,3502,1.0,1.0
H,299660,1800,1.0,1.0
H,299661,5910,2.0,5.0
H,299665,6601,2.0,1.0
H,299672,2312,2.0,1.0
H,299673,6703,,
H,299674,2318,1.0,1.0
H,299676,3802,1.0,2.0
H,299678,1100,1.0,1.0
H,299683,1200,1.0,3.0
H,299687,2319,1.0,2.0
H,299725,400,1.0,1.0
H,299746,5302,1.0,3.0
H,299748,3301,2.0,2.0
H,299754,2200,1.0,3.0
H,299756,5308,1.0,3.0
H,299757,5307,1.0,6.0
H,299760,5911,1.0,1.0
H,299770,3602,1.0,1.0
H,299772,4301,,
H,299776,5913,1.0,2.0
H,299787,501,1.0,1.0
H,299792,200,1.0,6.0
H,299801,700,1.0,6.0
H,299815,2320,2.0,7.0
H,299824,2004,1.0,4.0
H,299848,2600,2.0,5.0
H,299866,2600,1.0,6.0
H,299867,6400,2.0,6.0
H,299881,2516,2.0,1.0
H,299884,3601,1.0,4.0
H,299898,2102,2.0,1.0
H,299901,2303,1.0,1.0
H,299933,4628,1.0,3.0
H,299982,5913,1.0,6.0
H,300019,1200,1.0,2.0
H,300022,2315,1.0,6.0
H,300037,2002,1.0,1.0
H,300089,2514,1.0,4.0
H,300096,3304,1.0,4.0
H,300102,1800,1.0,1.0
H,300106,3700,1.0,6.0
H,300115,6804,,
H,300117,2312,,
H,300118,6900,1.0,5.0
H,300124,4616,1.0,4.0
H,300126,2322,1.0,6.0
H,300137,6301,2.0,1.0
H,300147,4616,1.0,1.0
H,300148,5910,3.0,1.0
H,300156,5306,1.0,1.0
H,300170,2501,4.0,1.0
H,300182,4609,2.0,1.0
H,300197,502,1.0,1.0
H,300204,5916,4.0,1.0
H,300206,1902,3.0,1.0
H,300214,1906,1.0,1.0
H,300240,3304,1.0,1.0
H,300258,100,2.0,1.0
H,300260,2200,1.0,6.0
H,300296,800,3.0,6.0
H,300301,4902,1.0,4.0
H,300315,2003,3.0,1.0
H,300318,2515,2.0,1.0
H,300334,4701,,
H,300365,5500,1.0,4.0
H,300370,4302,,
H,300381,5600,,
H,300392,1907,1.0,1.0
H,300395,4614,,
H,300403,2502,1.0,1.0
H,300413,4608,1.0,1.0
H,300418,4603,1.0,1.0
H,300437,4601,1.0,4.0
H,300449,5916,2.0,3.0
H,300451,2502,,
H,300461,5204,3.0,1.0
H,300465,2600,,
H,300478,4801,1.0,2.0
H,300557,4601,1.0,1.0
H,300575,2513,1.0,1.0
H,300590,4701,2.0,1.0
H,300591,3602,4.0,4.0
H,300592,2309,1.0,2.0
H,300617,2004,1.0,1.0
H,300635,2004,1.0,1.0
H,300636,3400,,
H,300655,6200,,
H,300657,2319,2.0,3.0
H,300658,2005,2.0,1.0
H,300661,4905,1.0,1.0
H,300667,6000,2.0,2.0
H,300728,1906,1.0,1.0
H,300730,2002,1.0,7.0
H,300745,5905,2.0,3.0
H,300771,3700,1.0,1.0
H,300831,2506,1.0,1.0
H,300833,4400,1.0,1.0
H,300834,5400,,
H,300838,4100,1.0,3.0
H,300848,3700,3.0,1.0
H,300852,5903,2.0,1.0
H,300855,4301,,
H,300858,4601,2.0,1.0
H,300865,1400,2.0,4.0
H,300869,2102,1.0,1.0
H,300876,1905,1.0,3.0
H,300882,5800,1.0,1.0
H,300885,4629,1.0,3.0
H,300900,4623,,
H,300901,3306,2.0,6.0
H,300903,6602,1.0,1.0
H,300905,1906,1.0,4.0
H,300935,800,1.0,3.0
H,300962,6200,2.0,6.0
H,300985,100,1.0,3.0
H,300986,3700,1.0,1.0
H,301015,1800,1.0,2.0
H,301054,2503,2.0,3.0
H,301061,4901,1.0,4.0
H,301084,1906,1.0,4.0
H,301118,1200,2.0,3.0
H,301145,600,,
H,301169,600,1.0,1.0
H,301180,4613,5.0,1.0
H,301184,2506,1.0,4.0
H,301201,4701,1.0,5.0
H,301211,3700,,
H,301249,4901,5.0,1.0
H,301251,2515,1.0,4.0
H,301270,2502,1.0,1.0
H,301292,6603,2.0,1.0
H,301293,3501,1.0,4.0
H,301300,4603,1.0,3.0
H,301312,5400,2.0,6.0
H,301340,4606,2.0,6.0
H,301394,4902,1.0,4.0
H,301405,2313,,
H,301410,5307,1.0,6.0
H,301415,5400,1.0,4.0
H,301420,400,2.0,1.0
H,301433,3400,1.0,3.0
H,301434,2101,1.0,3.0
H,301461,2505,3.0,1.0
H,301490,6805,1.0,1.0
H,301500,1907,1.0,1.0
H,301532,400,1.0,6.0
H,301533,4638,1.0,3.0
H,301572,5910,2.0,1.0
H,301574,5100,2.0,4.0
H,301593,2513,,
H,301598,4633,2.0,1.0
H,301605,4606,2.0,1.0
H,301619,6602,1.0,1.0
H,301638,4000,,
H,301640,5901,2.0,1.0
H,301649,2505,1.0,1.0
H,301651,1100,,
H,301668,2302,,
H,301678,800,,
H,301720,5700,1.0,1.0
H,301721,4901,4.0,1.0
H,301731,5100,1.0,1.0
H,301737,5308,1.0,3.0
H,301758,2700,1.0,3.0
H,301773,5914,1.0,1.0
H,301778,1502,2.0,1.0
H,301798,5000,1.0,3.0
H,301800,5309,2.0,4.0
H,301805,3501,1.0,2.0
H,301813,600,1.0,6.0
H,301824,6400,2.0,4.0
H,301827,100,1.0,5.0
H,301843,4604,1.0,5.0
H,301853,2317,1.0,2.0
H,301863,6400,2.0,1.0
H,301874,4615,3.0,2.0
H,301882,6500,1.0,3.0
H,301893,2307,1.0,6.0
H,301901,3306,2.0,6.0
H,301921,4606,1.0,4.0
H,301924,5303,1.0,4.0
H,301953,3100,,
H,301964,2006,1.0,1.0
H,301969,100,1.0,1.0
H,301975,2507,,
H,301978,1000,1.0,4.0
H,301989,2005,1.0,1.0
H,301991,2322,2.0,1.0
H,301992,5915,1.0,3.0
H,301993,4702,1.0,3.0
H,301997,5912,1.0,7.0
H,302072,3501,1.0,6.0
H,302077,2510,1.0,6.0
H,302083,2508,2.0,1.0
H,302092,2303,,
H,302096,4603,,
H,302135,3305,1.0,1.0
H,302163,2309,1.0,1.0
H,302173,4609,2.0,6.0
H,302180,5000,,
H,302183,3501,2.0,4.0
H,302191,4605,1.0,3.0
H,302195,6804,2.0,1.0
H,302216,3502,1.0,4.0
H,302225,300,1.0,3.0
H,302228,4608,2.0,1.0
H,302241,1800,,
H,302243,4802,1.0,3.0
H,302245,2502,2.0,3.0
H,302272,2510,1.0,6.0
H,302324,3501,3.0,4.0
H,302326,1700,,
H,302337,3200,,
H,302340,1903,1.0,1.0
H,302351,5916,2.0,1.0
H,302354,4606,2.0,4.0
H,302370,1700,1.0,1.0
H,302399,3602,1.0,7.0
H,302412,5305,3.0,4.0
H,302413,1200,,
H,302419,4802,1.0,1.0
H,302470,2005,4.0,4.0
H,302473,2322,1.0,1.0
H,302500,4618,2.0,3.0
H,302515,4621,,
H,302538,2308,1.0,6.0
H,302539,6601,,
H,302547,5000,2.0,2.0
H,302554,700,1.0,1.0
H,302557,6500,2.0,1.0
H,302563,3100,1.0,7.0
H,302565,2315,1.0,4.0
H,302567,1501,1.0,3.0
H,302568,5306,3.0,1.0
H,302587,5203,1.0,1.0
H,302600,4302,1.0,4.0
H,302613,3602,,
H,302621,1906,1.0,4.0
H,302624,6000,1.0,5.0
H,302642,4702,2.0,1.0
H,302662,502,,
H,302675,5400,2.0,3.0
H,302680,5306,2.0,2.0
H,302706,5308,1.0,5.0
H,302743,6701,,
H,302759,5906,,
H,302769,2503,1.0,4.0
H,302786,4612,1.0,4.0
H,302845,3400,3.0,1.0
H,302847,2302,1.0,6.0
H,302860,2502,4.0,5.0
H,302875,3000,1.0,4.0
H,302877,600,1.0,1.0
H,302913,4702,,
H,302914,900,1.0,1.0
H,302924,6200,2.0,2.0
H,302939,2513,1.0,4.0
H,302946,800,1.0,3.0
H,302972,3900,,
H,302978,5308,1.0,6.0
H,303013,2313,,
H,303035,4400,1.0,6.0
H,303040,502,1.0,1.0
H,303045,2305,3.0,1.0
H,303052,5203,1.0,4.0
H,303062,4901,1.0,3.0
H,303068,2311,,
H,303070,600,1.0,6.0
H,303085,502,1.0,1.0
H,303092,2700,,
H,303109,4801,,
H,303120,6400,2.0,3.0
H,303124,5304,2.0,3.0
H,303131,4615,2.0,1.0
H,303133,4803,1.0,6.0
H,303140,4619,1.0,7.0
H,303188,1400,1.0,4.0
H,303217,2306,2.0,5.0
H,303224,4606,2.0,5.0
H,303228,5905,2.0,3.0
H,303231,2513,1.0,1.0
H,303246,2800,2.0,6.0
H,303260,900,1.0,1.0
H,303270,4501,2.0,3.0
H,303282,4602,2.0,1.0
H,303292,1800,1.0,6.0
H,303297,5908,1.0,1.0
H,303315,1200,2.0,1.0
H,303328,6801,,
H,303341,1400,2.0,1.0
H,303345,5201,1.0,1.0
H,303360,900,1.0,1.0
H,303365,3801,1.0,6.0
H,303413,6702,2.0,6.0
H,303445,4000,,
H,303459,4636,2.0,7.0
H,303509,5000,2.0,1.0
H,303524,4702,,
H,303532,300,1.0,1.0
H,303546,4614,,
H,303547,4609,2.0,4.0
H,303552,4603,2.0,6.0
H,303555,6400,,
H,303560,4904,5.0,1.0
H,303579,100,1.0,1.0
H,303581,5204,1.0,1.0
H,303586,1903,1.0,2.0
H,303588,3305,2.0,1.0
H,303592,3801,1.0,6.0
H,303599,3602,2.0,6.0
H,303604,4702,1.0,4.0
H,303605,5000,1.0,1.0
H,303612,3301,,
H,303634,3502,1.0,1.0
H,303642,600,,
H,303673,5800,1.0,1.0
H,303691,3801,,
H,303709,5201,1.0,1.0
H,303713,2600,,
H,303715,4616,1.0,6.0
H,303721,3400,1.0,1.0
H,303742,4613,2.0,1.0
H,303750,2322,1.0,1.0
H,303755,100,1.0,1.0
H,303759,5916,1.0,1.0
H,303765,2005,1.0,6.0
H,303770,2800,,
H,303771,4902,4.0,4.0
H,303803,400,2.0,4.0
H,303805,2102,1.0,1.0
H,303806,6702,2.0,3.0
H,303826,400,,
H,303834,3000,1.0,4.0
H,303855,2102,,
H,303872,4301,1.0,6.0
H,303885,6400,2.0,6.0
H,303897,5400,1.0,4.0
H,303898,5100,1.0,1.0
H,303901,4636,4.0,1.0
H,303905,3601,,
H,303923,2302,1.0,6.0
H,303927,4501,1.0,1.0
H,303934,6301,2.0,1.0
H,303941,2316,1.0,1.0
H,303973,5915,1.0,1.0
H,303990,4701,,
H,304014,3400,,
H,304027,800,1.0,3.0
H,304030,300,1.0,1.0
H,304044,1904,1.0,1.0
H,304052,501,1.0,6.0
H,304062,2002,1.0,4.0
H,304067,1000,1.0,1.0
H,304098,4631,1.0,1.0
H,304128,5906,2.0,1.0
H,304130,5000,1.0,6.0
H,304138,2005,,
H,304143,2600,1.0,3.0
H,304171,4904,3.0,1.0
H,304209,5500,2.0,3.0
H,304225,2101,1.0,4.0
H,304229,4802,1.0,1.0
H,304246,6301,2.0,6.0
H,304250,3301,2.0,1.0
H,304262,5500,1.0,1.0
H,304269,1906,2.0,1.0
H,304284,2507,1.0,6.0
H,304303,600,,
H,304348,4502,1.0,1.0
H,304361,4626,1.0,3.0
H,304363,4607,1.0,4.0
H,304401,3502,,
H,304406,2001,1.0,1.0
H,304451,2311,1.0,1.0
H,304460,4629,1.0,2.0
H,304471,1904,2.0,3.0
H,304477,5000,2.0,7.0
H,304480,2318,1.0,4.0
H,304482,100,1.0,6.0
H,304485,5500,,
H,304491,4603,1.0,1.0
H,304503,3000,1.0,1.0
H,304509,4630,1.0,4.0
H,304563,5308,2.0,6.0
H,304568,4620,1.0,3.0
H,304577,300,1.0,6.0
H,304579,1904,5.0,3.0
H,304585,1300,1.0,1.0
H,304598,3700,1.0,4.0
H,304620,3200,4.0,1.0
H,304621,2513,1.0,1.0
H,304626,4606,2.0,1.0
H,304634,2309,2.0,3.0
H,304645,2006,1.0,1.0
H,304653,1800,,
H,304659,5203,1.0,4.0
H,304676,2306,2.0,3.0
H,304694,400,1.0,1.0
H,304723,3400,,
H,304766,4502,1.0,1.0
H,304773,3200,2.0,3.0
H,304800,3900,1.0,6.0
H,304814,6602,2.0,1.0
H,304815,4623,1.0,1.0
H,304837,4610,,
H,304839,4608,4.0,1.0
H,304847,100,1.0,6.0
H,304851,501,1.0,6.0
H,304880,2302,1.0,6.0
H,304883,2600,2.0,1.0
H,304889,4615,,
H,304893,5600,1.0,3.0
H,304896,1600,,
H,304910,4602,2.0,2.0
H,304923,600,2.0,1.0
H,304934,800,,
H,304942,5100,,
H,304949,2200,,
H,304957,6000,,
H,304966,1700,1.0,3.0
H,304974,700,1.0,1.0
H,304983,4904,4.0,1.0
H,305033,1906,1.0,6.0
H,305034,800,1.0,1.0
H,305054,1100,,
H,305056,600,1.0,4.0
H,305080,4302,3.0,3.0
H,305092,2800,,
H,305115,1906,1.0,1.0
H,305122,5100,1.0,1.0
H,305151,2515,1.0,1.0
H,305165,501,1.0,1.0
H,305175,5201,2.0,5.0
H,305186,2513,1.0,4.0
H,305201,4624,1.0,1.0
H,305205,600,1.0,1.0
H,305217,5400,1.0,4.0
H,305219,4607,1.0,4.0
H,305224,400,,
H,305243,2311,1.0,1.0
H,305253,4607,1.0,6.0
H,305270,6602,1.0,2.0
H,305286,4620,2.0,1.0
H,305287,900,1.0,5.0
H,305292,4615,2.0,2.0
H,305327,4616,2.0,1.0
H,305341,2322,1.0,6.0
H,305344,4615,2.0,1.0
H,305368,5307,2.0,1.0
H,305369,4701,4.0,1.0
H,305384,2312,1.0,1.0
H,305392,4627,1.0,3.0
H,305400,6703,2.0,1.0
H,305402,2510,1.0,1.0
H,305410,2504,1.0,4.0
H,305416,4802,1.0,2.0
H,305439,3400,1.0,6.0
H,305444,2513,,
H,305472,2509,1.0,3.0
H,305493,3400,,
H,305494,1800,1.0,4.0
H,305510,6702,2.0,1.0
H,305516,3900,,
H,305520,5909,1.0,6.0
H,305532,4633,1.0,1.0
H,305538,6701,2.0,1.0
H,305544,2313,1.0,6.0
H,305553,2508,1.0,3.0
H,305616,5500,1.0,6.0
H,305663,3900,,
H,305683,3700,,
H,305684,2508,1.0,3.0
H,305695,5400,4.0,1.0
H,305698,6703,2.0,3.0
H,305752,1600,1.0,6.0
H,305777,3900,,
H,305789,4613,1.0,1.0
H,305802,2900,1.0,1.0
H,305818,4501,1.0,1.0
H,305829,3200,2.0,1.0
H,305844,1906,1.0,1.0
H,305852,4613,1.0,4.0
H,305865,2320,,
H,305902,6804,,
H,305907,4609,1.0,3.0
H,305909,4610,1.0,1.0
H,305973,501,,
H,305991,4632,1.0,1.0
H,306030,5916,,
H,306036,2510,2.0,1.0
H,306039,2400,1.0,1.0
H,306072,6900,1.0,6.0
H,306084,2400,1.0,1.0
H,306094,2501,1.0,1.0
H,306099,2318,1.0,1.0
H,306101,5800,1.0,6.0
H,306102,3501,2.0,1.0
H,306111,2600,,
H,306123,2002,2.0,6.0
H,306140,4627,2.0,1.0
H,306178,4200,1.0,1.0
H,306180,2516,1.0,1.0
H,306192,100,1.0,6.0
H,306212,502,1.0,1.0
H,306235,3200,2.0,2.0
H,306256,5911,1.0,1.0
H,306261,5500,,
H,306272,2600,,
H,306274,900,1.0,4.0
H,306275,100,1.0,1.0
H,306294,3301,2.0,1.0
H,306309,4608,2.0,1.0
H,306311,2002,1.0,6.0
H,306313,4603,1.0,6.0
H,306327,5800,1.0,1.0
H,306342,5500,1.0,1.0
H,306363,3900,1.0,2.0
H,306365,2600,1.0,6.0
H,306380,4611,1.0,1.0
H,306387,4603,,
H,306394,4302,1.0,4.0
H,306424,3602,,
H,306425,1906,4.0,1.0
H,306444,1502,1.0,3.0
H,306473,5306,1.0,1.0
H,306481,3306,2.0,1.0
H,306483,6603,2.0,1.0
H,306493,4627,2.0,1.0
H,306504,2301,3.0,1.0
H,306547,5306,,
H,306574,1905,1.0,1.0
H,306589,4603,2.0,5.0
H,306594,6200,2.0,6.0
H,306620,2005,,
H,306621,501,,
H,306655,2004,3.0,1.0
H,306668,6302,,
H,306709,6602,1.0,1.0
H,306712,6000,,
H,306758,2102,1.0,2.0
H,306800,3304,2.0,1.0
H,306835,2316,2.0,1.0
H,306837,1907,1.0,1.0
H,306847,3200,,
H,306852,5400,1.0,1.0
H,306869,4616,1.0,4.0
H,306882,3501,1.0,1.0
H,306897,1100,,
H,306902,2306,1.0,6.0
H,306912,502,2.0,3.0
H,306926,2600,1.0,4.0
H,306948,2006,1.0,6.0
H,306966,6200,2.0,5.0
H,306973,4612,1.0,4.0
H,307007,1000,1.0,1.0
H,307042,4603,4.0,6.0
H,307050,600,,
H,307058,1903,2.0,1.0
H,307059,5500,1.0,1.0
H,307061,3400,2.0,6.0
H,307066,4803,1.0,5.0
H,307093,2314,1.0,4.0
H,307102,2900,2.0,1.0
H,307103,1502,1.0,5.0
H,307117,4100,,
H,307127,1200,1.0,4.0
H,307129,2315,1.0,6.0
H,307151,2002,1.0,4.0
H,307165,3304,,
H,307191,2313,,
H,307196,2501,1.0,1.0
H,307214,2319,1.0,3.0
H,307219,5909,,
H,307240,3601,1.0,4.0
H,307243,2508,2.0,1.0
H,307253,5916,1.0,3.0
H,307272,3400,1.0,1.0
H,307282,300,1.0,4.0
H,307283,5303,2.0,1.0
H,307305,3305,2.0,3.0
H,307328,5902,2.0,1.0
H,307337,3200,,
H,307379,5500,2.0,1.0
H,307384,3502,,
H,307429,4903,1.0,6.0
H,307443,3100,1.0,1.0
H,307451,2312,2.0,6.0
H,307467,4637,1.0,4.0
H,307474,2600,,
H,307475,5909,1.0,4.0
H,307489,2504,1.0,1.0
H,307490,6703,2.0,1.0
H,307507,3502,1.0,1.0
H,307525,2306,1.0,1.0
H,307544,5905,1.0,1.0
H,307595,2303,2.0,4.0
H,307611,2501,1.0,1.0
H,307637,2005,1.0,4.0
H,307639,800,1.0,1.0
H,307645,5203,2.0,1.0
H,307682,5904,2.0,3.0
H,307684,6301,2.0,1.0
H,307692,700,,
H,307702,2510,,
H,307703,5201,1.0,4.0
H,307712,1700,,
H,307725,5304,1.0,5.0
H,307763,4503,3.0,1.0
H,307774,2101,1.0,1.0
H,307783,4803,1.0,6.0
H,307787,4803,1.0,6.0
H,307797,4621,1.0,5.0
H,307799,5904,2.0,1.0
H,307801,2307,1.0,4.0
H,307816,2800,1.0,6.0
H,307826,2800,,
H,307828,6100,,
H,307831,4302,1.0,1.0
H,307833,3900,,
H,307836,2312,1.0,6.0
H,307874,900,1.0,1.0
H,307880,5903,,
H,307889,300,1.0,3.0
H,307893,2311,1.0,1.0
H,307903,300,1.0,4.0
H,307916,6100,2.0,1.0
H,307937,4701,2.0,1.0
H,307942,4901,1.0,1.0
H,307945,5307,2.0,3.0
H,307948,6603,,
H,307970,2003,,
H,307971,3700,1.0,1.0
H,308010,4622,2.0,1.0
H,308030,5304,1.0,4.0
H,308042,4301,2.0,1.0
H,308060,3306,2.0,1.0
H,308063,1100,1.0,3.0
H,308066,5203,2.0,4.0
H,308069,3802,2.0,4.0
H,308070,2317,1.0,6.0
H,308073,5303,,
H,308077,2400,1.0,3.0
H,308116,2303,2.0,1.0
H,308139,4702,1.0,1.0
H,308141,100,1.0,1.0
H,308150,6603,1.0,3.0
H,308157,800,1.0,6.0
H,308178,2308,1.0,1.0
H,308185,4617,1.0,3.0
H,308204,4602,2.0,1.0
H,308228,3700,1.0,3.0
H,308253,5201,,
H,308256,6601,2.0,3.0
H,308265,5307,1.0,7.0
H,308273,5304,2.0,4.0
H,308305,3502,1.0,1.0
H,308336,5902,2.0,2.0
H,308352,5301,3.0,3.0
H,308354,2310,1.0,1.0
H,308356,3100,2.0,3.0
H,308368,1000,1.0,4.0
H,308370,4635,,
H,308397,3700,1.0,1.0
H,308403,501,1.0,5.0
H,308410,300,1.0,1.0
H,308431,200,1.0,3.0
H,308432,4608,2.0,1.0
H,308440,2306,1.0,4.0
H,308445,1800,,
H,308455,4200,1.0,1.0
H,308484,6200,2.0,1.0
H,308488,4622,2.0,1.0
H,308489,4301,1.0,4.0
H,308511,1907,1.0,1.0
H,308548,6805,2.0,2.0
H,308552,3700,1.0,4.0
H,308553,5500,1.0,4.0
H,308559,2304,,
H,308601,2600,1.0,4.0
H,308605,2313,1.0,6.0
H,308628,5204,1.0,1.0
H,308643,4632,2.0,1.0
H,308656,3200,2.0,1.0
H,308685,6000,,
H,308699,6702,2.0,1.0
H,308707,2900,1.0,6.0
H,308718,2004,1.0,1.0
H,308798,3000,2.0,1.0
H,308839,3400,,
H,308850,1000,1.0,1.0
H,308852,1100,1.0,6.0
H,308867,2006,1.0,1.0
H,308881,2400,1.0,1.0
H,308897,6200,1.0,1.0
H,308913,2800,,
H,308915,3100,2.0,1.0
H,308921,5204,1.0,1.0
H,308923,5100,1.0,7.0
H,308926,4631,1.0,1.0
H,308933,2800,,
H,308953,4625,1.0,6.0
H,308968,6805,2.0,1.0
H,308970,4616,1.0,5.0
H,308971,4501,1.0,1.0
H,308978,6000,1.0,6.0
H,309015,3400,1.0,1.0
H,309043,4609,2.0,1.0
H,309046,5910,,
H,309047,200,1.0,1.0
H,309051,1907,1.0,1.0
H,309055,4612,2.0,3.0
H,309072,5905,2.0,1.0
H,309091,6701,2.0,3.0
H,309094,4905,1.0,3.0
H,309119,2507,1.0,1.0
H,309120,1502,1.0,7.0
H,309177,5400,1.0,1.0
H,309191,2304,1.0,1.0
H,309198,1501,1.0,1.0
H,309212,100,1.0,1.0
H,309229,5800,1.0,6.0
H,309234,1905,5.0,2.0
H,309249,5902,1.0,3.0
H,309264,5500,1.0,4.0
H,309275,1000,1.0,6.0
H,309280,4613,4.0,1.0
H,309287,2002,1.0,6.0
H,309307,5303,1.0,2.0
H,309317,2003,1.0,1.0
H,309351,5203,1.0,4.0
H,309356,6701,,
H,309376,2320,2.0,1.0
H,309384,6701,2.0,1.0
H,309397,2502,2.0,1.0
H,309406,6900,2.0,1.0
H,309443,2800,,
H,309469,6200,2.0,1.0
H,309474,2311,1.0,1.0
H,309499,2506,1.0,1.0
H,309513,4622,1.0,3.0
H,309516,4626,2.0,1.0
H,309528,2600,1.0,3.0
H,309571,5305,1.0,4.0
H,309600,400,2.0,1.0
H,309601,2001,2.0,1.0
H,309606,2322,1.0,1.0
H,309615,4100,,
H,309646,2513,1.0,1.0
H,309648,4622,2.0,3.0
H,309661,2313,1.0,1.0
H,309673,1907,1.0,3.0
H,309680,4200,1.0,1.0
H,309694,1907,1.0,1.0
H,309703,3801,1.0,6.0
H,309715,5600,1.0,6.0
H,309719,6805,1.0,1.0
H,309733,2306,1.0,1.0
H,309735,4618,,
H,309747,5902,2.0,1.0
H,309761,4612,,
H,309777,1000,2.0,4.0
H,309787,5910,1.0,4.0
H,309797,300,1.0,4.0
H,309799,2600,1.0,6.0
H,309815,5600,2.0,4.0
H,309817,2400,2.0,1.0
