RT,SERIALNO,PUMA,HHL,HHT
H,2789,5201,2.0,3.0
H,2792,5914,2.0,1.0
H,2793,2308,1.0,6.0
H,2815,6100,,
H,2835,2513,2.0,1.0
H,2867,3305,1.0,1.0
H,2869,5911,1.0,1.0
H,2875,4631,1.0,1.0
H,2877,800,1.0,4.0
H,2910,600,1.0,1.0
H,2919,3700,1.0,6.0
H,2921,2321,3.0,5.0
H,2926,2700,1.0,1.0
H,2953,5000,,
H,2954,2313,1.0,5.0
H,2983,2502,1.0,1.0
H,3037,4638,4.0,2.0
H,3043,4904,4.0,1.0
H,3096,6702,1.0,1.0
H,3114,2506,3.0,1.0
H,3119,4601,2.0,5.0
H,3131,3601,,
H,3143,3802,3.0,1.0
H,3174,5902,,
H,3176,6000,1.0,7.0
H,3181,5600,2.0,1.0
H,3182,4902,1.0,1.0
H,3197,6301,2.0,6.0
H,3201,6400,2.0,1.0
H,3213,2310,1.0,6.0
H,3223,5100,,
H,3236,5700,1.0,1.0
H,3246,3000,1.0,4.0
H,3248,400,,
H,3265,3200,2.0,1.0
H,3278,5500,,
H,3286,3400,1.0,1.0
H,3318,6000,,
H,3323,2101,1.0,1.0
H,3339,2505,3.0,2.0
H,3375,4702,1.0,1.0
H,3381,1200,1.0,1.0
H,3391,800,1.0,1.0
H,3393,2313,1.0,6.0
H,3413,4617,1.0,3.0
H,3439,4630,1.0,1.0
H,3471,1906,1.0,1.0
H,3482,5306,,
H,3511,100,,
H,3516,4616,3.0,1.0
H,3517,4624,1.0,5.0
H,3530,2507,1.0,6.0
H,3552,3700,,
H,3560,5907,,
H,3562,2507,1.0,1.0
H,3566,2102,1.0,4.0
H,3577,600,1.0,1.0
H,3609,4902,4.0,1.0
H,3617,1906,1.0,1.0
H,3623,100,,
H,3647,6500,,
H,3654,2502,1.0,2.0
H,3667,2312,1.0,1.0
H,3670,4620,1.0,1.0
H,3685,2102,1.0,6.0
H,3695,1600,1.0,3.0
H,3697,5000,1.0,1.0
H,3719,6900,1.0,6.0
H,3727,1800,1.0,4.0
H,3750,2307,1.0,1.0
H,3766,3400,,
H,3770,3900,,
H,3782,3305,2.0,1.0
H,3788,4605,2.0,1.0
H,3807,4502,1.0,1.0
H,3816,2314,,
H,3832,2317,1.0,6.0
H,3838,6801,2.0,3.0
H,3839,2200,1.0,4.0
H,3878,3700,2.0,1.0
H,3880,3700,2.0,1.0
H,3884,5902,1.0,1.0
H,3904,4601,1.0,4.0
H,3907,3601,2.0,1.0
H,3935,4100,1.0,4.0
H,3957,6801,2.0,2.0
H,3972,1901,1.0,4.0
H,3975,5306,1.0,5.0
H,3978,2509,,
H,3994,1903,1.0,6.0
H,4001,3601,,
H,4011,800,1.0,1.0
H,4033,2303,1.0,1.0
H,4035,3700,1.0,7.0
H,4040,1100,1.0,3.0
H,4045,5908,2.0,1.0
H,4074,3602,1.0,4.0
H,4094,5800,1.0,1.0
H,4099,2516,1.0,6.0
H,4105,4602,,
H,4106,700,1.0,4.0
H,4109,5911,1.0,1.0
H,4114,6603,1.0,4.0
H,4130,4606,2.0,4.0
H,4136,2319,2.0,2.0
H,4141,600,1.0,6.0
H,4148,100,1.0,1.0
H,4161,4635,1.0,1.0
H,4168,3700,1.0,1.0
H,4176,3601,1.0,1.0
H,4201,100,2.0,1.0
H,4204,2313,1.0,3.0
H,4208,6603,1.0,6.0
H,4209,4633,1.0,1.0
H,4210,2509,1.0,3.0
H,4211,1800,1.0,7.0
H,4214,5309,1.0,1.0
H,4215,4200,,
H,4218,5912,1.0,4.0
H,4233,3601,,
H,4234,2004,1.0,1.0
H,4246,600,1.0,1.0
H,4257,2800,,
H,4289,5304,1.0,1.0
H,4295,5905,1.0,1.0
H,4297,6302,2.0,1.0
H,4351,1100,1.0,1.0
H,4381,2303,1.0,1.0
H,4399,2308,5.0,1.0
H,4400,5914,1.0,6.0
H,4411,200,1.0,6.0
H,4418,6701,1.0,1.0
H,4450,1200,1.0,1.0
H,4465,4501,1.0,1.0
H,4485,4503,1.0,6.0
H,4494,5100,,
H,4496,4504,2.0,1.0
H,4498,2507,1.0,1.0
H,4509,2313,,
H,4514,4615,1.0,4.0
H,4560,3502,1.0,6.0
H,4581,5903,,
H,4582,2600,1.0,2.0
H,4599,3301,2.0,1.0
H,4607,3304,,
H,4608,2312,,
H,4612,5910,1.0,1.0
H,4659,4613,1.0,1.0
H,4672,4701,1.0,1.0
H,4675,3900,1.0,4.0
H,4696,600,,
H,4706,5202,1.0,5.0
H,4710,3602,1.0,1.0
H,4721,3601,1.0,1.0
H,4731,3900,2.0,1.0
H,4734,900,1.0,6.0
